name,latitude,longitude
GUNUNG KIDUL,-8.0305091,110.6168921
KOTA YOGYAKARTA,-7.797224,110.368797
PANDEGLANG,-6.314835,106.103897
LEBAK,-6.5643956,106.2522143
TANGERANG,-6.1783056,106.6318889
SERANG,-6.12009,106.150299
KOTA TANGERANG,-6.1783056,106.6318889
KOTA CILEGON,-6.0169825,106.040506
KOTA SERANG,-6.12009,106.150299
JEMBRANA,-8.361852,114.6418
TABANAN,-8.544516,115.119797
BADUNG,-8.5819296,115.1770586
GIANYAR,-8.544185,115.3255
KLUNGKUNG,-8.5389222,115.4045111
BANGLI,-8.454303,115.354897
KARANG ASEM,-6.3996057,108.0503042
BULELENG,-8.113831,115.126999
KOTA DENPASAR,-8.65629,115.222099
LOMBOK BARAT,-8.6464599,116.1123078
LOMBOK TENGAH,-8.694623,116.2777073
LOMBOK TIMUR,-8.5134471,116.5609857
SUMBAWA,-8.6529334,117.3616476
DOMPU,-8.4966318,118.4747173
BIMA,-8.460566,118.727402
SUMBAWA BARAT,-8.9292907,116.8910342
KOTA MATARAM,-8.5833333,116.1166667
KOTA BIMA,-8.460566,118.727402
SUMBA BARAT,-9.6548326,119.3947135
SUMBA TIMUR,-9.9802103,120.3435506
KUPANG,-10.1833333,123.5833333
TIMOR TENGAH SELATAN,-9.7762816,124.4198243
TIMOR TENGAH UTARA,-9.4522647,124.597132
BELU,-9.4125796,124.9506625
ALOR,-8.2754027,124.7298765
LEMBATA,-8.4719075,123.4831906
FLORES TIMUR,-8.3130942,122.9663018
SIKKA,-8.6766175,122.1291843
ENDE,-8.854053,121.654198
NGADA,-8.7430424,120.9876321
MANGGARAI,-8.6796987,120.3896651
ROTE NDAO,-10.7386421,123.1239049
MANGGARAI BARAT,-8.6688149,120.0665236
SUMBA TENGAH,-9.4879226,119.6962677
SUMBA BARAT DAYA,-9.539139,119.1390642
NAGEKEO,-8.6753545,121.3084088
MANGGARAI TIMUR,-8.6206712,120.6199895
KOTA KUPANG,-10.1833333,123.5833333
SAMBAS,1.361328,109.309998
BENGKAYANG,0.8209729,109.477699
LANDAK,0.4237287,109.7591675
PONTIANAK,-0.022523,109.330307
SANGGAU,0.119275,110.597298
KETAPANG,-1.859098,109.971901
SINTANG,0.080238,111.495499
KAPUAS HULU,-0.7931004,113.9060624
SEKADAU,0.015637,110.888603
MELAWI,-0.7000681,111.6660725
KAYONG UTARA,-0.9225877,110.0449662
KUBU RAYA,-0.3533938,109.4735066
KOTA PONTIANAK,-0.022523,109.330307
KOTA SINGKAWANG,0.908795,108.984596
KOTAWARINGIN BARAT,-6.1961131,106.8630174
KOTAWARINGIN TIMUR,-6.1952992,106.8630737
KAPUAS,-0.0459972,110.1313251
BARITO SELATAN,-1.875943,114.8092691
BARITO UTARA,-0.9587136,115.094045
SUKAMARA,-2.6267517,111.2368084
LAMANDAU,-1.9269166,111.1891151
SERUYAN,-3.0123467,112.4291464
KATINGAN,-0.9758379,112.8105512
PULANG PISAU,-2.6849607,113.9536466
GUNUNG MAS,-6.7052778,106.9913889
BARITO TIMUR,-2.0123999,115.188916
MURUNG RAYA,-0.1362171,114.3341432
KOTA PALANGKA RAYA,-2.21,113.92
TANAH LAUT,-3.7694047,114.8092691
KOTA BARU,-6.332973,106.807915
BANJAR,-7.3666667,108.5333333
BARITO KUALA,-3.0714738,114.6667939
TAPIN,-2.9160746,115.0465991
HULU SUNGAI SELATAN,-2.7662681,115.2363408
HULU SUNGAI TENGAH,-2.6153162,115.5207358
HULU SUNGAI UTARA,-2.4421225,115.188916
TABALONG,-1.864302,115.5681084
TANAH BUMBU,-3.4512244,115.5681084
BALANGAN,-2.3260425,115.6154732
KOTA BANJARMASIN,-3.328499,114.589203
KOTA BANJAR BARU,-3.4666667,114.75
PASER,-1.7175266,115.9467997
KUTAI BARAT,0.1353881,115.094045
KUTAI KARTANEGARA,-0.1336655,116.6081653
KUTAI TIMUR,0.9433774,116.9852422
BERAU,2.0450883,117.3616476
MALINAU,3.584221,116.647797
BULUNGAN,2.9042476,116.9852422
NUNUKAN,4.0609227,117.666952
PENAJAM PASER UTARA,-1.2917094,116.5137964
TANA TIDUNG,3.551869,117.0794082
KOTA BALIKPAPAN,-1.2635389,116.8278833
KOTA SAMARINDA,-0.502183,117.153801
KOTA TARAKAN,3.3,117.6333333
KOTA BONTANG,0.1333333,117.5
BOLAANG MONGONDOW,0.6870994,124.0641419
MINAHASA,1.0,124.5833333
KEPULAUAN SANGIHE,3.5303212,125.5438967
KEPULAUAN TALAUD,4.092,126.768
MINAHASA SELATAN,1.0946773,124.4641848
MINAHASA UTARA,1.5327973,124.994751
BOLAANG MONGONDOW UTARA,0.818691,123.5280072
SIAU TAGULANDANG BIARO,2.345964,125.4124355
MINAHASA TENGGARA,1.0278551,124.7298765
KOTA MANADO,1.4917014,124.842843
KOTA BITUNG,1.4553529,125.204697
KOTA TOMOHON,1.3234131,124.8384504
KOTA KOTAMOBAGU,0.7333333,124.3166667
BANGGAI KEPULAUAN,-1.6408137,123.5504076
BANGGAI,-1.6408137,123.5504076
MOROWALI,-2.3003072,121.5370003
POSO,-1.391922,120.766998
DONGGALA,-0.4233155,119.8352303
TOLI-TOLI,0.8768231,120.7579834
BUOL,0.9695452,121.3541631
PARIGI MOUTONG,0.5817607,120.8039474
TOJO UNA-UNA,-1.098757,121.5370003
KOTA PALU,-0.898583,119.850601
SELAYAR,-6.0,120.5
BULUKUMBA,-5.4329368,120.2051096
BANTAENG,-5.5169316,120.0202964
JENEPONTO,-5.554579,119.6730939
TAKALAR,-5.4162493,119.4875668
GOWA,-5.3102888,119.742604
SINJAI,-5.2171961,120.112735
MAROS,-4.94695,119.578903
PANGKAJENE DAN KEPULAUAN,-4.805035,119.5571677
BARRU,-4.4172651,119.6730939
BONE,-2.083333,120.216667
SOPPENG,-4.3518541,119.9277947
WAJO,-4.022229,120.0665236
SIDENRENG RAPPANG,-3.7738981,120.0202964
PINRANG,-3.793071,119.6408
ENREKANG,-3.563128,119.7612
LUWU,-3.3052214,120.2512728
TANA TORAJA,-3.0753003,119.742604
LUWU UTARA,-2.2690446,119.9740534
LUWU TIMUR,-2.5825518,121.1710389
KOTA MAKASSAR,-5.1333333,119.4166667
KOTA PARE-PARE,-4.0166667,119.6236111
KOTA PALOPO,-3.0,120.2
BUTON,-5.3096355,122.9888319
MUNA,-4.901629,122.6277455
KONAWE,-3.9380432,122.0837445
KOLAKA,-4.049665,121.593803
KONAWE SELATAN,-4.2027915,122.4467238
BOMBANA,-4.6543462,121.9017954
WAKATOBI,-5.3264442,123.5951925
KOLAKA UTARA,-3.1347227,121.1710389
BUTON UTARA,-4.7023424,123.0338767
KONAWE UTARA,-3.3803291,122.0837445
KOTA KENDARI,-3.972201,122.5149028
KOTA BAU-BAU,-5.46667,122.633
BOALEMO,0.7013419,122.2653887
GORONTALO,0.5333333,123.0666667
POHUWATO,0.7055278,121.7195459
BONE BOLANGO,0.5657885,123.3486147
GORONTALO UTARA,0.9252647,122.4920088
KOTA GORONTALO,0.5333333,123.0666667
MAJENE,-3.0297251,118.9062794
POLEWALI MANDAR,-3.3419323,119.1390642
MAMASA,-2.960135,119.368202
MAMUJU,-2.7293364,118.9295737
MAMUJU UTARA,-1.5264542,119.5107708
MALUKU TENGGARA BARAT,-7.5322642,131.3611121
MALUKU TENGGARA,-5.7512455,132.7271587
MALUKU TENGAH,-3.0166501,129.4864411
BURU SELATAN,-3.3927754,126.7819505
KEPULAUAN ARU,-6.1946502,134.5501935
SERAM BAGIAN BARAT,-3.1271575,128.4008357
SERAM BAGIAN TIMUR,-3.4150761,130.390488
KOTA AMBON,-3.65607,128.166419
KOTATUAL,-5.640851,132.7475093
HALMAHERA BARAT,1.3121235,128.4849923
HALMAHERA TENGAH,1.3121235,128.4849923
KEPULAUAN SULA,-1.8666667,125.3666667
HALMAHERA SELATAN,1.3121235,128.4849923
HALMAHERA UTARA,1.3121235,128.4849923
HALMAHERA TIMUR,1.3121235,128.4849923
KOTA TERNATE,0.7833333,127.3666667
KOTA TIDORE KEPULAUAN,0.6833333,127.4
FAKFAK,-2.885237,132.2658282
KAIMANA,-3.660925,133.774506
TELUK WONDAMA,-2.8551699,134.3236557
TELUK BINTUNI,-1.9056848,133.329466
MANOKWARI,-0.8614531,134.0620421
SORONG SELATAN,-0.8666667,131.25
KOTA SORONG,-0.8666667,131.25
RAJA AMPAT,-1.0915151,130.8778586
SORONG,-0.8666667,131.25
MERAUKE,-8.4960406,140.3945527
JAYAWIJAYA,-4.0004481,138.7995122
JAYAPURA,-2.533,140.717
NABIRE,-3.5095462,135.7520985
KEPULAUAN YAPEN,-1.7469359,136.1709012
BIAK NUMFOR,-1.0381022,135.9800848
PANIAI,-3.7876441,136.3624686
PUNCAK JAYA,-4.0836111,137.1847222
MIMIKA,-4.4553223,137.1362125
BOVEN DIGOEL,-5.7400018,140.3481835
MAPPI,-7.102232,139.396393
ASMAT,-5.0573958,138.3988186
YAHUKIMO,-4.4939717,139.5279996
PEGUNUNGAN BINTANG,-4.5589872,140.5135589
TOLIKARA,-3.481132,138.4787258
SARMI,-1.868727,138.743607
KEEROM,-3.3449536,140.7624493
WAROPEN,-2.8435717,136.670534
SUPIORI,-0.7295099,135.6385125
MAMBERAMO RAYA,-2.5331255,137.7637565
KOTA JAYAPURA,-2.533,140.717
LABUHANBATU UTARA,2.3465638,99.8124935
LABUHANBATU SELATAN,1.8799353,100.1703257
NIAS UTARA,1.1255279,97.5247243
NIAS BARAT,1.1255279,97.5247243
KOTA GUNUNGSITOLI,1.281964,97.61594
KEPULAUAN MERANTI,0.9208765,102.6675575
BENGKULU TENGAH,-3.7955556,102.2591667
